Index|Stock>,Undetected Active Errors,Undetected Passive Errors,
0,0,0,
1,2.35535042724,-36.7195111669,
2,3.56716650353,-38.2204340465,
3,6.90457975225,-36.0220692201,
4,10.8087470508,-37.3437529451,
5,13.7034053589,-36.1485127976,
6,16.5719178027,-35.862743237,
7,18.4726351007,-37.1488966682,
8,21.4147238925,-36.5488601314,
9,25.4825637922,-36.5585669168,
10,28.6271042345,-35.5245853528,
11,32.5538278179,-37.1285356889,
12,35.0857618378,-36.7587780089,
13,36.8536855606,-36.9463586866,
14,39.2836700735,-37.3852381528,
15,41.8274365256,-35.7673499185,
16,44.0626399208,-36.8078844579,
17,46.3840366852,-36.7775716032,
18,48.4377915786,-37.5423630729,
19,49.2883137099,-38.076395313,
20,53.0235947248,-35.9417267386,
21,56.6185760025,-36.8247077194,
22,60.0338499656,-37.3821180082,
23,64.8651002272,-36.6638367601,
24,68.7309612987,-35.650081924,
25,71.5282993603,-36.2081658991,
26,73.270756339,-36.8332677273,
27,76.3071844122,-36.9843511928,
28,78.4471370365,-37.8482830075,
29,80.6260372572,-38.002710359,
