Index|Stock>,Undetected Active Errors,Undetected Passive Errors,
0,0,0,
1,3.83411249605,4.25509273194,
2,6.66809941121,3.39829198419,
3,10.4715852283,5.31444833877,
4,13.1679491389,4.06605126903,
5,15.0637677269,2.87121759408,
6,18.818761604,4.45997316648,
7,21.7237949162,4.41847860609,
8,25.5581603069,3.13246162957,
9,28.6691009907,3.19353938171,
10,31.7401063952,3.53392261151,
11,34.953210031,1.68782243616,
12,38.5055987943,3.84684129992,
13,40.3931462098,2.65276106295,
14,45.3484281021,4.27904459467,
15,48.9195006279,3.56854593846,
16,51.3914240254,4.11042794317,
17,55.5617657079,3.84582826211,
18,59.1707921491,4.04224494559,
19,62.0851586031,3.27607849482,
20,64.7756170272,4.09233840492,
21,68.2922428414,3.1895158446,
22,71.5074835962,3.28025965085,
23,74.0179797716,2.89303518657,
24,77.6244244282,2.61285366246,
25,79.9382379852,3.39815481025,
26,83.1089920641,2.94493299041,
27,86.7443162804,3.29471474521,
28,91.688875017,4.69672308178,
29,93.190549486,1.58325511453,
30,98.3232349992,5.57294448992,
31,100.826345213,3.70065082069,
32,103.459944567,3.9047386849,
33,107.26558934,2.82297756178,
34,110.137811298,3.33871663657,
35,114.585530972,4.34359333556,
36,117.188372208,3.30520856482,
37,120.385546392,3.80428895513,
38,123.241904069,3.71212252567,
39,125.789536218,3.13200593118,
40,130.641881787,4.82373831841,
41,134.899287144,5.38577052795,
42,139.079863596,3.50187494322,
43,141.796330229,2.9088207028,
44,144.999721736,2.77420285209,
45,147.961722643,3.6041768308,
46,151.301764042,4.90310947626,
47,154.484896913,3.25278791605,
48,158.610982521,4.34359674573,
49,161.232017798,4.50336703922,
50,164.414684148,3.92234575545,
51,168.652221544,3.82883132447,
52,169.799781945,2.71103251952,
53,173.246241674,4.21834313265,
54,177.113750148,3.01347165496,
55,180.628045358,3.77245876464,
56,184.066708002,2.92451469301,
57,187.428406523,4.30090814783,
58,191.681109426,4.58160698578,
59,195.301100997,3.54892441788,
60,199.745790559,3.83099573537,
61,202.212889287,2.3264932124,
62,206.440225105,4.40434055336,
63,210.344679276,2.68168612866,
64,215.199615478,3.62330725704,
65,219.521833969,4.24057101319,
66,222.600869487,3.30775884424,
67,226.167016999,3.5993848193,
68,230.328858279,2.79075266882,
69,233.698497788,3.92707920572,
70,237.321970025,3.00042178968,
71,241.578461342,4.8507854663,
72,244.785226313,3.70336012781,
73,247.904219082,3.33269503198,
74,250.476988976,2.59161254802,
75,253.916240875,2.18734032737,
76,257.135576013,3.75149134712,
77,262.791947831,4.93428766357,
78,267.051468937,4.00263611295,
79,269.810989406,3.46099923705,
80,273.655808577,3.32363073288,
81,277.664514388,3.21492696399,
82,280.288015506,2.8458783444,
83,283.518893756,2.66070364666,
84,287.341718092,3.43835998003,
85,290.415292933,3.97382347792,
86,293.415739906,3.55337605581,
87,296.72248942,2.82824310357,
88,299.587172544,3.45187305583,
89,302.240916032,2.34339211901,
90,305.063289179,3.61215545308,
91,308.678626457,3.39699312767,
92,312.381029205,3.91754598986,
93,316.457379476,2.86569990537,
94,319.170221734,4.20982251333,
95,321.620579334,2.67295237009,
96,324.29688199,3.94608986197,
97,328.66137771,3.11438094822,
98,332.370579753,2.74892648141,
99,334.421629204,2.21016831787,
100,337.685369336,2.76236600638,
101,340.022331234,3.45877895337,
102,343.184505826,2.68864686129,
103,344.95854738,2.6749731897,
104,347.062193086,3.25304720043,
105,349.71793663,2.93141776414,
106,353.288218922,3.75335159199,
107,355.698324869,3.27505488183,
108,359.873031526,3.96289897744,
109,363.445670374,2.85401734414,
110,367.647923117,3.69750654622,
111,371.711603101,3.2368392425,
112,375.218676896,3.1339032241,
113,379.868414232,4.25734103043,
114,383.090836111,3.73606425012,
115,385.711747826,2.53446022931,
116,387.798160563,3.01397591231,
117,390.579745928,3.00393460705,
118,395.424483038,5.02818332126,
119,398.703644055,3.05649085191,
120,403.143391068,3.55466582086,
121,406.853479066,2.64190332616,
122,408.272944464,2.24996634983,
123,411.40278626,2.72325853094,
124,414.865647192,1.85180100313,
125,418.11128153,3.91619270856,
126,421.708838314,4.10359500058,
127,425.003925985,3.30669313874,
128,427.524415997,3.1080751211,
129,431.81096037,4.54762046086,
130,433.938937934,3.05937806476,
131,437.554319552,3.90122042747,
132,440.705975712,3.85537955782,
133,444.949935537,3.67603831289,
134,448.080766459,3.15700946799,
135,450.911465716,3.23404055696,
136,454.302061461,3.30356037519,
137,458.549745775,3.01564614445,
138,463.17529442,4.75693487032,
139,466.98292912,3.54563435503,
140,469.326194898,2.64996280204,
141,471.997442483,2.96876010145,
142,475.638827812,2.93853433527,
143,478.895142172,4.05330787203,
144,483.774801642,3.47114153306,
145,487.369568074,4.19957899552,
146,491.508483891,4.21159642405,
147,495.905003862,4.60818812917,
148,498.874090893,3.71898509963,
149,501.756537579,3.49077126264,
150,506.036745164,4.0049188338,
151,508.264063697,2.26180843879,
152,509.444562297,1.42184012268,
153,512.09965239,3.74040762592,
154,515.786614734,3.6029974778,
155,519.426413431,2.65514058522,
156,522.800648866,4.82190519751,
157,524.742395988,2.74199392638,
158,529.050160256,4.41358190045,
159,531.886615595,3.34409269728,
160,534.365249664,3.25901014803,
161,537.140210334,3.34756800337,
162,540.683013688,3.91785043854,
163,543.240773873,2.58513192039,
164,546.698156156,2.65070975649,
165,550.937652164,4.379526695,
166,553.764718739,3.75766778688,
167,557.339841938,4.55708721565,
168,558.710020149,2.34851802134,
169,562.677400677,3.84566195005,
170,565.970239529,3.65531514081,
171,569.710077968,4.10788587089,
172,572.78571551,2.93593987393,
